Voltage_V,Current_Density_A_cm2
-0.3,-3.3526958986940915e-12
-0.25,-3.350919541854686e-12
-0.2,-3.3473668281758746e-12
-0.15000000000000002,-3.3356428730357976e-12
-0.1,-3.2729374766047814e-12
-0.05,-2.8560265263962913e-12
0.0,0.0
0.05,1.966515839063947e-11
0.1,1.551358153055951e-10
0.15000000000000002,1.0882694745394838e-09
0.2,7.51387299049478e-09
0.25,5.174220372177165e-08
0.3,3.5598215861849746e-07
0.35,2.4463505972506364e-06
0.39999999999999997,1.6755790669337502e-05
0.44999999999999996,0.00011289659266642836
0.49999999999999994,0.0006952740411183533
0.5499999999999999,0.003086303619234898
0.6,0.00827911261467819
0.65,0.015485309563741464
0.7000000000000001,0.023792601684325707
0.7500000000000001,0.03272184567891306
0.8000000000000002,0.04203490749528881
